"path","animation","frame","rect","finding","width","height","alphaType","alpha0Ratio","alphaPartialRatio","alpha255Ratio","partialVisibleRatio","minAlpha","maxAlpha","meanAlpha","visibleBounds"
"assets/monsters/black_forest/mountain_wolf.png","attack-4","","920,0,36,41","","36","41","binary","0.6165311653116531","0.0","0.38346883468834686","0.0","0","255","97.78455284552845","920,0,36,41"
"assets/monsters/black_forest/mountain_wolf.png","attack-4","","734,0,35,42","","35","42","binary","0.6081632653061224","0.0","0.39183673469387753","0.0","0","255","99.91836734693878","734,0,35,42"
"assets/monsters/black_forest/mountain_wolf.png","attack-4","","574,0,36,43","","36","43","binary","0.6214470284237726","0.0","0.3785529715762274","0.0","0","255","96.53100775193798","574,0,36,43"
"assets/monsters/black_forest/mountain_wolf.png","attack-4","","636,225,37,36","","37","36","binary","0.5773273273273273","0.0","0.42267267267267267","0.0","0","255","107.78153153153153","636,225,37,36"
"assets/monsters/black_forest/mountain_wolf.png","attack-4","","701,487,40,24","","40","24","binary","0.44375","0.0","0.55625","0.0","0","255","141.84375","701,487,40,24"
"assets/monsters/black_forest/mountain_wolf.png","attack-4","","519,458,38,27","","38","27","binary","0.48635477582846004","0.0","0.51364522417154","0.0","0","255","130.9795321637427","519,458,38,27"
"assets/monsters/black_forest/mountain_wolf.png","attack-4","","899,365,33,30","","33","30","binary","0.4626262626262626","0.0","0.5373737373737374","0.0","0","255","137.03030303030303","899,365,33,30"
"assets/monsters/black_forest/mountain_wolf.png","attack-4","","337,298,36,33","","36","33","binary","0.5227272727272727","0.0","0.4772727272727273","0.0","0","255","121.70454545454545","337,298,36,33"
"assets/monsters/black_forest/mountain_wolf.png","attack-4","","892,144,35,39","","35","39","binary","0.5838827838827839","0.0","0.41611721611721614","0.0","0","255","106.10989010989012","892,144,35,39"
"assets/monsters/black_forest/mountain_wolf.png","attack-5","","864,332,48,31","","48","31","binary","0.5201612903225806","0.0","0.4798387096774194","0.0","0","255","122.35887096774194","864,332,48,31"
"assets/monsters/black_forest/mountain_wolf.png","attack-5","","173,332,47,32","","47","32","binary","0.5259308510638298","0.0","0.4740691489361702","0.0","0","255","120.8876329787234","173,332,47,32"
"assets/monsters/black_forest/mountain_wolf.png","attack-5","","221,332,45,32","","45","32","binary","0.5263888888888889","0.0","0.4736111111111111","0.0","0","255","120.77083333333333","221,332,45,32"
"assets/monsters/black_forest/mountain_wolf.png","attack-5","","913,332,50,31","","50","31","binary","0.5548387096774193","0.0","0.44516129032258067","0.0","0","255","113.51612903225806","913,332,50,31"
"assets/monsters/black_forest/mountain_wolf.png","attack-5","","0,262,51,35","","51","35","binary","0.6078431372549019","0.0","0.39215686274509803","0.0","0","255","100.0","0,262,51,35"
"assets/monsters/black_forest/mountain_wolf.png","attack-5","","933,365,49,30","","49","30","binary","0.5530612244897959","0.0","0.44693877551020406","0.0","0","255","113.96938775510205","933,365,49,30"
